Basin,Water Supply Source,Class,Type,Owner Operator Utilizing Source,County,Supplemental Source,Primary Source,Actual Annual Average Withdrawals 2019 (MGD),Notes
Chattahoochee Basin,Lake Lanier,Surface Water,Lake,City of Cumming,Forsyth,NA,23.82,9.4,
Chattahoochee Basin,Lake Lanier,Surface Water,Lake,Forsyth County Board of Commissioners,Forsyth,NA,38.64,14.7,
Chattahoochee Basin,Lake Lanier,Surface Water,Lake,Gwinnett County,Gwinnett,NA,150,76.6,
Chattahoochee Basin,Lake Lanier,Surface Water,Lake,City of Buford,Gwinnett,NA,2,1.3,
Chattahoochee Basin,Lake Lanier,Surface Water,Lake,City of Gainesville,Hall,NA,30,19.2,
Chattahoochee Basin,Chattahoochee River,Surface Water,River,Atlanta - Fulton County Water Resources Commission,Fulton,NA,90,41.6,
Chattahoochee Basin,Chattahoochee River,Surface Water,River,DeKalb County Public Works,DeKalb,NA,140,71.2,
Chattahoochee Basin,Chattahoochee River,Surface Water,River,Middle Chattahoochee Regional Water and Sewer Authority,Fulton,NA,8.55,NA,unsure of the sink county
Chattahoochee Basin,Chattahoochee River,Surface Water,River,Cobb County-Marietta Water Authority,Cobb,NA,87,40.5,
Chattahoochee Basin,Chattahoochee River,Surface Water,River,City of Atlanta Watershed Management,Fulton,NA,135.3,89.6,
Chattahoochee Basin,Dog River Reservoir,Surface Water,Reservoir,Douglasville-Douglas County Water and Sewer Authority,Douglas,NA,23,11.7,
Chattahoochee Basin,Bear Creek Reservoir,Surface Water,Reservoir,Douglasville-Douglas County Water and Sewer Authority,Douglas,6,,0.2,
Chattahoochee Basin,Big Creek,Surface Water,Creek,City of Roswell,Fulton,NA,2.8,1.7,
Chattahoochee Basin,Sweetwater Creek,Surface Water,Creek,City of East Point,Fulton,NA,11.5,5.4,
Chattahoochee Basin,Cedar Creek Reservoirs,Surface Water,Reservoir,City of Palmetto,Fulton,NA,0.45,0.4,
Chattahoochee Basin,Cedar Creek (B.T. Brown) Reservoir,Surface Water,Reservoir,Coweta County Water and Sewerage Authority,Coweta,NA,6.7,2.8,
Chattahoochee Basin,J.T. Haynes Reservoir,Surface Water,Reservoir,Newnan Utilities,Coweta,NA,14,6.4,
Chattahoochee Basin,Sandy/Browns Creek,Surface Water,Creek,Newnan Utilities,Coweta,8,,2.8,
Coosa_Etowah Basin,Etowah River,Surface Water,River,City of Canton,Cherokee,39,18.7,3.3,
Coosa_Etowah Basin,Etowah River,Surface Water,River,City of Cartersville ,Bartow,NA,23,NA,
Coosa_Etowah Basin,Etowah River/Richland Creek Reservoir,Surface Water,Reservoir,Paulding County,Paulding,47,42,0.0001,giving a really tiny number to have non-zero value to avoid issues in multiplicative scaling of PWS
Coosa_Etowah Basin,Etowah River at Riverbend,Surface Water,River,Cherokee County Water and Sewerage Authority,Cherokee,NA,4.5,2.4,
Coosa_Etowah Basin,Hollis Q. Lathem (Yellow Creek) Reservoir/Etowah River,Surface Water,Reservoir,Cherokee County Water and Sewerage Authority,Cherokee,NA,36,14.7,
Coosa_Etowah Basin,Allatoona Lake,Surface Water,Lake,City of Cartersville,Bartow,NA,18,11.9,
Coosa_Etowah Basin,Allatoona Lake,Surface Water,Lake,Cobb County-Marietta Water Authority,Cobb,NA,78,45.3,
Coosa_Etowah Basin,Lewis Spring,Surface Water,Spring,City of Adairsville,Bartow,NA,4.1,1.6,
Coosa_Etowah Basin,Moss Springs,Surface Water,Spring,City of Emerson,Bartow,NA,0.5,0.2,
Coosa_Etowah Basin,Bolivar Springs,Surface Water,Spring,Bartow County Water System,Bartow,NA,0.8,0.4,
Coosa_Etowah Basin,Hickory Log Creek Reservoir,Surface Water,Reservoir,City of Canton,Cherokee,NA,NA,0.1,
Coosa_Etowah Basin,Hickory Log Creek Reservoir,Surface Water,Reservoir,Cobb County-Marietta Water Authority,Cobb,NA,NA,NA,
Flint Basin,Flint River,Surface Water,River,Clayton County Water Authority,Clayton,40,NA,3.4,
Flint Basin,Flint River,Surface Water,River,Fayette County Water System,Fayette,16,NA,1.1,
Flint Basin,J.W. Smith Reservoir (Shoal Creek),Surface Water,Reservoir,Clayton County Water Authority,Clayton,NA,17,11.5,
Flint Basin,White Oak Creek,Surface Water,Creek,Newnan Utilities,Coweta,7,NA,0.8,unsure of the sink county
Flint Basin,Line Creek,Surface Water,Creek,Newnan Utilities,Coweta,12,NA,1.2,unsure of the sink county
Flint Basin,Hutchins Lake,Surface Water,Lake,City of Senoia,Coweta,NA,0.3,0.2,
Flint Basin,Whitewater Creek,Surface Water,Creek,City of Fayetteville,Fayette,NA,3,0,
Flint Basin,Lake Kedron,Surface Water,Lake,Fayette County Water System,Fayette,NA,4.5,0.2,
Flint Basin,Lake Peachtree (Flat Creek),Surface Water,Lake,Fayette County Water System,Fayette,,,,
Flint Basin,Horton Creek Reservoir,Surface Water,Reservoir,Fayette County Water System,Fayette,NA,14,5.3,
Flint Basin,Lake McIntosh,Surface Water,Lake,Fayette County Water System,Fayette,NA,12.5,4.3,
Flint Basin,Still Branch Creek Reservoir,Surface Water,Reservoir,"City of Griffin (provides water to Pike, Spalding, and Coweta Counties)",Coweta,NA,3.1,3.1,
Ocmulgee Basin,W.J. Hooper Reservoir (Little Cotton Indian Creek),Surface Water,Reservoir,Clayton County Water Authority,Clayton,NA,20,16.5,
Ocmulgee Basin,Edgar Blalock Jr. Reservoir (Pates Creek),Surface Water,Reservoir,Clayton County Water Authority,Clayton,NA,10,2.2,
Ocmulgee Basin,John Fargason (Walnut Creek) Reservoir,Surface Water,Reservoir,City of McDonough,Henry,NA,2.4,1.3,
Ocmulgee Basin,S. Howell Gardner (Indian Creek) Reservoir,Surface Water,Reservoir,Henry County Water Authority,Henry,NA,8,3.1,
Ocmulgee Basin,Rowland (Long Branch) Reservoir,Surface Water,Reservoir,Henry County Water Authority,Henry,NA,10,1.25,
Ocmulgee Basin,Towaliga River Reservoir,Surface Water,Reservoir,Henry County Water Authority,Henry,NA,11,7.5,
Ocmulgee Basin,Tussahaw Creek Reservoir,Surface Water,Reservoir,Henry County Water Authority,Henry,NA,24,6.8,
Ocmulgee Basin,Big Haynes Creek (Randy Poynter Lake),Surface Water,Creek,Rockdale County,Rockdale,NA,32.8,13,
Ocmulgee Basin,Brown Branch,Surface Water,River,City of Locust Grove,Henry,NA,0.3,0.2,
Oconee Basin,Cedar Creek Reservoir,Surface Water,Reservoir,City of Gainesville,Hall,NA,2,0,
Oconee Basin,North Oconee River,Surface Water,River,City of Gainesville,Hall,20,NA,,
Oconee Basin,Rock Creek,Surface Water,Creek,City of Auburn,Gwinnett,NA,1.59,0,unsure of the sink county
Tallapoosa Basin,Lake Paradise (Little Tallapoosa River) ,Surface Water,Lake,City of Villa Rica,Douglas,NA,1.5,1.2,unsure of the sink county
Tallapoosa Basin,Cowens Lake (Astin Creek),Surface Water,Lake,City of Villa Rica,Douglas,0,0,0,unsure of the sink county
